line_number,six_count
1,40
2,42
3,45
4,46
5,37
6,51
7,46
8,43
9,32
10,39
11,38
12,48
13,45
14,36
15,55
16,45
17,39
18,38
19,42
20,39
21,46
22,47
23,39
24,42
25,45
26,52
27,44
28,44
29,42
30,40
31,45
32,29
33,47
34,56
35,42
36,38
37,47
38,47
39,37
40,38
41,39
42,36
43,37
44,46
45,33
46,42
47,44
48,38
49,40
50,45
51,39
52,56
53,40
54,49
55,39
56,41
57,38
58,46
59,48
60,44
61,44
62,47
63,48
64,51
65,43
66,53
67,49
68,50
69,37
70,43
71,36
72,41
73,50
74,31
75,47
76,42
77,46
78,37
79,40
80,37
81,50
82,52
83,40
84,47
85,46
86,50
87,46
88,44
89,43
90,45
91,42
92,35
93,37
94,36
95,44
96,41
97,37
98,47
99,51
100,42
101,37
102,48
103,37
104,47
105,39
106,34
107,41
108,37
109,44
110,39
111,52
112,52
113,45
114,48
115,42
116,40
117,41
118,46
119,39
120,39
121,44
122,39
123,51
124,42
125,44
126,43
127,52
128,47
129,43
130,51
131,40
132,47
133,37
134,44
135,42
136,45
137,39
138,51
139,42
140,47
141,34
142,33
143,37
144,45
145,36
146,47
147,43
148,43
149,47
150,56
151,39
152,44
153,43
154,38
155,48
156,46
157,37
158,41
159,52
160,41
161,43
162,36
163,38
164,50
165,38
166,42
167,33
168,36
169,49
170,38
171,41
172,34
173,31
174,49
175,44
176,26
177,29
178,38
179,38
180,27
181,40
182,37
183,39
184,50
185,45
186,33
187,31
188,29
189,50
190,43
191,45
192,39
193,45
194,41
195,36
196,48
197,39
198,29
199,43
200,49
201,44
202,38
203,34
204,42
205,38
206,42
207,37
208,55
209,42
210,42
211,42
212,45
213,44
214,43
215,44
216,39
217,42
218,49
219,40
220,49
221,40
222,36
223,49
224,41
225,42
226,50
227,41
228,32
229,46
230,33
231,34
232,42
233,35
234,45
235,28
236,43
237,40
238,38
239,42
240,38
241,37
242,47
243,41
244,46
245,33
246,42
247,44
248,42
249,38
250,59
251,39
252,46
253,40
254,37
255,47
256,46
257,52
258,35
259,45
260,45
261,40
262,45
263,30
264,46
265,36
266,44
267,37
268,43
269,43
270,44
271,38
272,39
273,42
274,40
275,50
276,42
277,41
278,52
279,44
280,48
281,36
282,44
283,32
284,30
285,48
286,38
287,40
288,42
289,42
290,39
291,36
292,51
293,39
294,51
295,34
296,35
297,35
298,47
299,37
300,41
301,43
302,34
303,37
304,42
305,39
306,56
307,34
308,50
309,44
310,36
311,40
312,38
313,40
314,41
315,50
316,49
317,44
318,35
319,44
320,41
321,37
322,37
323,42
324,35
325,37
326,36
327,33
328,37
329,42
330,44
331,47
332,44
333,31
334,45
335,38
336,41
337,45
338,40
339,38
340,49
341,37
342,35
343,44
344,42
345,39
346,33
347,36
348,53
349,42
350,50
351,36
352,52
353,44
354,42
355,41
356,45
357,34
358,35
359,59
360,43
361,45
362,38
363,38
364,33
365,32
366,42
367,37
368,41
369,35
370,36
371,35
372,42
373,39
374,45
375,42
376,45
377,32
378,54
379,47
380,40
381,38
382,50
383,42
384,36
385,47
386,43
387,46
388,45
389,37
390,41
391,47
392,37
393,35
394,43
395,45
396,26
397,34
398,41
399,39
400,48
401,37
402,39
403,37
404,39
405,39
406,30
407,41
408,53
409,44
410,46
411,50
412,38
413,32
414,50
415,40
416,42
417,38
418,40
419,44
420,49
421,45
422,55
423,44
424,39
425,42
426,40
427,40
428,42
429,39
430,48
431,34
432,33
433,49
434,50
435,51
436,51
437,49
438,28
439,45
440,43
441,46
442,35
443,50
444,43
445,49
446,42
447,42
448,37
449,34
450,43
451,39
452,35
453,35
454,39
455,46
456,48
457,34
458,47
459,45
460,46
461,48
462,42
463,43
464,38
465,44
466,50
467,40
468,35
469,59
470,48
471,30
472,45
473,41
474,41
475,44
476,46
477,42
478,51
479,30
480,48
481,37
482,37
483,43
484,42
485,36
486,43
487,46
488,41
489,47
490,38
491,35
492,37
493,49
494,45
495,39
496,43
497,35
498,39
499,40
500,40
501,31
502,42
503,46
504,51
505,31
506,41
507,42
508,45
509,38
510,37
511,41
512,39
513,36
514,47
515,35
516,39
517,51
518,43
519,47
520,42
521,40
522,51
523,41
524,45
525,44
526,37
527,34
528,39
529,42
530,43
531,37
532,44
533,38
534,45
535,46
536,37
537,41
538,42
539,35
540,41
541,31
542,53
543,44
544,40
545,42
546,56
547,33
548,33
549,37
550,42
551,53
552,43
553,41
554,59
555,46
556,36
557,58
558,45
559,40
560,44
561,37
562,54
563,43
564,43
565,51
566,40
567,40
568,47
569,45
570,39
571,40
572,42
573,36
574,35
575,43
576,37
577,34
578,32
579,43
580,27
581,36
582,41
583,39
584,41
585,36
586,43
587,38
588,36
589,48
590,44
591,54
592,39
593,49
594,56
595,36
596,43
597,33
598,47
599,50
600,46
601,38
602,37
603,39
604,43
605,52
606,37
607,37
608,44
609,42
610,39
611,40
612,40
613,47
614,46
615,41
616,47
617,44
618,52
619,45
620,46
621,26
622,46
623,41
624,41
625,49
626,43
627,41
628,46
629,41
630,41
631,44
632,44
633,43
634,46
635,50
636,40
637,41
638,35
639,45
640,45
641,42
642,34
643,38
644,36
645,43
646,38
647,44
648,47
649,27
650,47
651,40
652,48
653,35
654,44
655,39
656,49
657,41
658,49
659,41
660,37
661,39
662,42
663,47
664,43
665,42
666,41
667,40
668,39
669,49
670,43
671,50
672,34
673,43
674,39
675,44
676,36
677,52
678,36
679,34
680,36
681,31
682,40
683,44
684,50
685,42
686,36
687,44
688,45
689,41
690,36
691,47
692,38
693,44
694,42
695,40
696,41
697,46
698,41
699,41
700,42
701,46
702,44
703,37
704,40
705,40
706,44
707,38
708,43
709,54
710,34
711,39
712,39
713,42
714,43
715,36
716,43
717,48
718,40
719,41
720,59
721,37
722,45
723,40
724,39
725,40
726,42
727,32
728,46
729,41
730,51
731,38
732,38
733,48
734,46
735,34
736,42
737,41
738,41
739,40
740,51
741,40
742,41
743,34
744,33
745,42
746,33
747,42
748,45
749,40
750,40
751,38
752,41
753,44
754,39
755,29
756,44
757,37
758,44
759,46
760,47
761,50
762,42
763,46
764,40
765,42
766,42
767,48
768,30
769,39
770,37
771,54
772,45
773,50
774,48
775,35
776,46
777,44
778,41
779,32
780,34
781,37
782,41
783,41
784,40
785,41
786,48
787,40
788,40
789,46
790,38
791,33
792,40
793,37
794,46
795,41
796,43
797,39
798,47
799,43
800,46
801,47
802,38
803,38
804,35
805,39
806,48
807,41
808,43
809,40
810,44
811,44
812,34
813,50
814,38
815,32
816,42
817,39
818,43
819,38
820,36
821,40
822,38
823,36
824,40
825,39
826,41
827,60
828,31
829,52
830,26
831,33
832,39
833,44
834,44
835,47
836,37
837,30
838,50
839,32
840,37
841,42
842,39
843,45
844,40
845,52
846,45
847,39
848,46
849,39
850,37
851,53
852,38
853,42
854,49
855,34
856,40
857,41
858,44
859,34
860,56
861,42
862,36
863,34
864,40
865,55
866,42
867,47
868,38
869,37
870,45
871,43
872,34
873,42
874,47
875,40
876,39
877,54
878,49
879,40
880,38
881,48
882,43
883,37
884,48
885,44
886,41
887,41
888,35
889,44
890,39
891,39
892,44
893,34
894,43
895,42
896,39
897,36
898,51
899,41
900,49
901,41
902,32
903,42
904,34
905,43
906,43
907,44
908,42
909,40
910,48
911,42
912,46
913,44
914,33
915,33
916,35
917,34
918,29
919,40
920,42
921,42
922,61
923,39
924,50
925,33
926,34
927,35
928,47
929,37
930,24
931,39
932,41
933,56
934,38
935,38
936,36
937,44
938,47
939,46
940,52
941,44
942,35
943,38
944,41
945,41
946,40
947,36
948,45
949,44
950,52
951,41
952,43
953,38
954,35
955,36
956,48
957,38
958,38
959,44
960,45
961,45
962,43
963,42
964,47
965,50
966,37
967,38
968,46
969,50
970,42
971,44
972,35
973,41
974,46
975,46
976,37
977,44
978,37
979,38
980,39
981,38
982,33
983,39
984,46
985,35
986,39
987,40
988,39
989,50
990,40
991,35
992,40
993,40
994,40
995,46
996,34
997,49
998,42
999,40
1000,37
1001,43
1002,50
1003,41
1004,34
1005,47
1006,38
1007,37
1008,30
1009,36
1010,43
1011,41
1012,36
1013,41
1014,43
1015,41
1016,45
1017,52
1018,38
1019,35
1020,44
1021,38
1022,38
1023,43
1024,36
1025,38
1026,45
1027,38
1028,36
1029,52
1030,38
1031,43
1032,40
1033,48
1034,40
1035,37
1036,35
1037,41
1038,35
1039,49
1040,20
1041,40
1042,43
1043,43
1044,41
1045,45
1046,50
1047,40
1048,54
1049,54
1050,35
1051,52
1052,47
1053,46
1054,38
1055,28
1056,42
1057,43
1058,55
1059,48
1060,40
1061,48
1062,59
1063,53
1064,49
1065,40
1066,36
1067,51
1068,46
1069,54
1070,42
1071,33
1072,50
1073,40
1074,42
1075,41
1076,39
1077,38
1078,41
1079,39
1080,45
1081,43
1082,36
1083,41
1084,41
1085,40
1086,35
1087,37
1088,49
1089,42
1090,40
1091,45
1092,49
1093,38
1094,44
1095,39
1096,39
1097,38
1098,41
1099,48
1100,47
1101,41
1102,45
1103,41
1104,36
1105,44
1106,36
1107,31
1108,38
1109,44
1110,39
1111,59
1112,41
1113,42
1114,38
1115,38
1116,27
1117,37
1118,39
1119,45
1120,44
1121,39
1122,40
1123,48
1124,46
1125,48
1126,38
1127,39
1128,31
1129,33
1130,39
1131,38
1132,41
1133,44
1134,53
1135,37
1136,52
1137,51
1138,35
1139,39
1140,41
1141,32
1142,44
1143,45
1144,41
1145,52
1146,37
1147,33
1148,29
1149,45
1150,39
1151,44
1152,35
1153,40
1154,36
1155,49
1156,39
1157,45
1158,49
1159,27
1160,42
1161,39
1162,47
1163,32
1164,42
1165,39
1166,42
1167,37
1168,35
1169,35
1170,42
1171,45
1172,37
1173,37
1174,44
1175,44
1176,37
1177,41
1178,44
1179,41
1180,47
1181,39
1182,49
1183,42
1184,52
1185,49
1186,46
1187,39
1188,43
1189,43
1190,43
1191,37
1192,37
1193,41
1194,38
1195,41
1196,45
1197,43
1198,33
1199,48
1200,43
1201,41
1202,44
1203,39
1204,35
1205,39
1206,40
1207,41
1208,37
1209,51
1210,42
1211,34
1212,40
1213,44
1214,45
1215,48
1216,32
1217,37
1218,42
1219,37
1220,46
1221,39
1222,51
1223,43
1224,45
1225,40
1226,37
1227,37
1228,38
1229,42
1230,37
1231,37
1232,38
1233,41
1234,40
1235,37
1236,38
1237,40
1238,35
1239,37
1240,39
1241,44
1242,45
1243,41
1244,35
1245,36
1246,49
1247,36
1248,38
1249,39
1250,43
1251,46
1252,49
1253,39
1254,46
1255,37
1256,40
1257,51
1258,43
1259,33
1260,38
1261,45
1262,53
1263,49
1264,41
1265,35
1266,37
1267,40
1268,37
1269,32
1270,54
1271,39
1272,51
1273,47
1274,41
1275,47
1276,46
1277,44
1278,39
1279,45
1280,53
1281,40
1282,49
1283,40
1284,41
1285,47
1286,32
1287,30
1288,31
1289,50
1290,36
1291,38
1292,40
1293,35
1294,39
1295,41
1296,50
1297,41
1298,37
1299,47
1300,51
1301,57
1302,45
1303,43
1304,41
1305,28
1306,37
1307,39
1308,44
1309,47
1310,40
1311,46
1312,44
1313,42
1314,45
1315,43
1316,47
1317,41
1318,33
1319,33
1320,36
1321,41
1322,35
1323,33
1324,49
1325,37
1326,53
1327,39
1328,50
1329,37
1330,50
1331,54
1332,41
1333,44
1334,44
1335,43
1336,47
1337,45
1338,33
